expid,peakid,year,season,nation,leaders,sponsor,success,totmembers,smtmembers,mdeaths,o2used
EVER15139,EVER,2015,1,China,Wangchen Sonam,Holy Mountain Adventure Everest Expedition 2015,FALSE,20,0,0,FALSE
EVER15103,EVER,2015,1,UK,Ted Atkins,British Army Everest 2015,FALSE,6,0,0,FALSE
LHOT15104,LHOT,2015,1,USA,Garrett Madison,Madison Mountaineering Lhotse Expedition 2015,FALSE,3,0,0,FALSE
AMAD14348,AMAD,2014,3,Switzerland,Anton (Toni) Spirig,Strapazis Ama Dablam Expedition 2014,TRUE,6,5,0,FALSE
AMAD14349,AMAD,2014,3,Russia,Boris Eshcheulov,Snowy Horizon International Ama Dablam Expedition 2014,TRUE,12,3,0,FALSE
AMAD14350,AMAD,2014,3,Czech Republic,Josef Simunek,Czech Ama Dablam Expedition 2014,FALSE,4,0,0,FALSE
AMAD14351,AMAD,2014,3,Poland,Roman Mucha,Strona Wyprawy na Ama Dablam,FALSE,5,0,0,FALSE
AMAD14352,AMAD,2014,3,Spain,Xavier Gonzalez,Seven Summit Treks Ama Dablam Expedition 2014,TRUE,10,4,0,FALSE
AMAD14353,AMAD,2014,3,Austria,Heinrich Lederer,Canan Nepal Expedition,FALSE,3,0,0,FALSE
AMAD14354,AMAD,2014,3,Slovenia,Igor Radovic,Slovenian Ama Dablam Expedition 2014,FALSE,2,0,0,FALSE
AMAD14355,AMAD,2014,3,Australia,Rolfe Oostra,Roelof Oostra Ama Dablam Expedition 2014,FALSE,3,0,0,FALSE
AMAD14356,AMAD,2014,3,UK,Kenneth Applegate,Apple Mountaineering Ama Dablam Expedition 2014,TRUE,2,2,0,FALSE
AMAD14357,AMAD,2014,3,Australia,James Worth,Australian Ama Dablam Expedition 2014,TRUE,1,1,0,FALSE
AMAD14358,AMAD,2014,3,Italy,Daniele Fringuello,Fringuello Italian Ama Dablam Expedition 2014,FALSE,2,0,0,FALSE
AMAD14359,AMAD,2014,3,Italy,Maurizio Folini,Folini Italian Ama Dablam Expedition 2014,TRUE,1,1,0,FALSE
